Incident Zip,Borough,Complaint Type
0.0,Unspecified,1
100.0,Unspecified,1
1106.0,QUEENS,1
10000.0,MANHATTAN,8
10000.0,Unspecified,1
10001.0,MANHATTAN,512
10002.0,MANHATTAN,354
10003.0,MANHATTAN,721
10003.0,Unspecified,1
10004.0,MANHATTAN,115
10005.0,MANHATTAN,55
10006.0,MANHATTAN,38
10007.0,MANHATTAN,185
10007.0,Unspecified,1
10009.0,MANHATTAN,251
10010.0,MANHATTAN,260
10011.0,MANHATTAN,532
10012.0,MANHATTAN,346
10013.0,MANHATTAN,445
10014.0,MANHATTAN,308
10016.0,MANHATTAN,542
10017.0,MANHATTAN,354
10017.0,Unspecified,2
10018.0,MANHATTAN,312
10019.0,MANHATTAN,699
10020.0,MANHATTAN,35
10021.0,MANHATTAN,196
10022.0,MANHATTAN,450
10023.0,MANHATTAN,321
10024.0,MANHATTAN,290
10024.0,Unspecified,1
10025.0,MANHATTAN,356
10026.0,MANHATTAN,119
10027.0,MANHATTAN,290
10028.0,MANHATTAN,253
10029.0,MANHATTAN,268
10030.0,MANHATTAN,74
10031.0,MANHATTAN,120
10032.0,MANHATTAN,135
10033.0,MANHATTAN,152
10034.0,MANHATTAN,106
10035.0,MANHATTAN,161
10036.0,MANHATTAN,595
10037.0,MANHATTAN,75
10038.0,MANHATTAN,195
10039.0,MANHATTAN,61
10040.0,MANHATTAN,68
10044.0,MANHATTAN,13
10065.0,MANHATTAN,180
10069.0,MANHATTAN,4
10075.0,MANHATTAN,98
10103.0,MANHATTAN,1
10111.0,MANHATTAN,3
10112.0,MANHATTAN,13
10118.0,MANHATTAN,2
10119.0,MANHATTAN,10
10121.0,MANHATTAN,14
10121.0,Unspecified,1
10128.0,MANHATTAN,148
10165.0,MANHATTAN,2
10168.0,MANHATTAN,1
10169.0,MANHATTAN,3
10177.0,MANHATTAN,1
10178.0,MANHATTAN,1
10179.0,MANHATTAN,1
10271.0,MANHATTAN,3
10280.0,MANHATTAN,17
10281.0,MANHATTAN,10
10282.0,MANHATTAN,22
10301.0,STATEN ISLAND,110
10302.0,STATEN ISLAND,93
10303.0,STATEN ISLAND,72
10303.0,Unspecified,1
10304.0,STATEN ISLAND,86
10305.0,STATEN ISLAND,111
10306.0,STATEN ISLAND,132
10307.0,STATEN ISLAND,25
10308.0,STATEN ISLAND,42
10309.0,STATEN ISLAND,60
10310.0,STATEN ISLAND,65
10312.0,STATEN ISLAND,67
10314.0,STATEN ISLAND,224
10314.0,Unspecified,1
10451.0,BRONX,177
10452.0,BRONX,168
10453.0,BRONX,138
10454.0,BRONX,94
10455.0,BRONX,114
10456.0,BRONX,145
10457.0,BRONX,129
10458.0,BRONX,159
10459.0,BRONX,100
10460.0,BRONX,102
10460.0,Unspecified,1
10461.0,BRONX,156
10462.0,BRONX,215
10463.0,BRONX,189
10463.0,MANHATTAN,1
10464.0,BRONX,43
10465.0,BRONX,69
10465.0,Unspecified,1
10466.0,BRONX,88
10467.0,BRONX,266
10468.0,BRONX,162
10469.0,BRONX,120
10470.0,BRONX,14
10471.0,BRONX,46
10471.0,Unspecified,1
10472.0,BRONX,122
10473.0,BRONX,83
10474.0,BRONX,32
10474.0,Unspecified,1
10475.0,BRONX,109
11004.0,QUEENS,36
11005.0,QUEENS,5
11021.0,QUEENS,1
11027.0,MANHATTAN,1
11040.0,QUEENS,16
11101.0,QUEENS,242
11102.0,QUEENS,94
11103.0,QUEENS,163
